,MRP,product code,product name,WEIGHT,Cost per item,ship,DISCOUNT,selling rate,GST,selling rate excl gst
Home Improvement,528,0699,0699 Kitchen/Bathroom Square Napkin Toilet Paper Holder - 14 inch,578,132,84,10,475,18,403
Home Improvement,528,0700,0700 Kitchen/Bathroom Round Napkin Toilet Paper Holder - 14 inch,540,132,84,15,449,18,380
Home Improvement,760,0701,0701 Multi Purpose Wall Mount Stand for Set top box (H-103),756,190,84,25,570,18,483
Home Improvement,744,0702,0702 Multi Purpose Wall Mount Stand for Set top box,500,248,84,15,632,18,536
Home Improvement,999,0756,0756_ABS Plastic 4 in 1 Multipurpose Kitchen/Bathroom Shelf/Paste-Brush Stand/Soap Stand/Tumbler Holder/Bathroom Accessories,627,110,84,50,500,18,423
Home Improvement,"1,999",0764,0764 Big 3 Blade Ceiling Fan,2590,825,252,20,1599,18,1355
Home Improvement,"2,599",0765,0765 Small 4 Blade Ceiling Fan,2900,795,252,35,1689,18,1432
Home Improvement,325,0862,"0862 Refrigerator base Stand 4pcs, Washing Machine Stand, Furniture Base Stand, Fridge Stands",451,47,42,10,293,18,248
Home Improvement,1399,1220,1220 Portable Mini Hand Tailor Machine for Sewing Stitching,1238,569,126,25,1049,18,889
Home Improvement,499,1232,1232 Handheld Portable Mini Electric Cordless Sewing Machine for Beginners,500,185,84,0,499,18,423
Home Improvement,499,1259,1259 Reusable Insulated Grocery Shopping Cloth Bag Washable and Foldable,968,77,84,20,399,18,338
Home Improvement,1299,1401,1401 Bathroom Accessories Folding Towel Rack,2730,389,252,20,1039,18,881
Home Improvement,1299,1490,"1490 Multipurpose Wooden Clips /Cloth Pegs (Large, 500 Pcs)",1000,610,84,20,1039,18,881
Home Improvement,299,1534,1534 kitchen water shower tap faucet tap aerator,125,69,42,0,299,18,253
Home Improvement,699,1570,1570 3 Layer Multipurpose Portable Folding Shoe Rack/Shoe Cabinet,1570,272,168,0,699,18,592
Home Improvement,2999,1708,1708 Table Corners Edge Protector Guards for Baby Child Safety (Pack of 100),1708,1429,168,25,2249,18,1906
Home Improvement,699,2267,2267 5 LTR Water Rover Jug (Plastic) (Multi-coloured),1426,230,126,10,629,18,533
Home Improvement,330,2307,2307 Telescopic Adjustable Faucet Rack Dish Brushes Sponge Storage Shelves Sink Drain,466,89,42,0,330,18,280
Home Improvement,999,2501,2501 Foldable Height Adjusting Stool Space Saving Telescopic Stool,1040,389,126,15,849,18,720
Home Improvement,999,2502,2502 Foldable Height Adjusting Stool Space Saving Telescopic Stool,1040,389,126,15,849,18,720
Home Improvement,599,3107,3107 Acrylic Wall Mount Shelf Rack Kitchen and Bathroom Accessories (15X5-inch),600,218,84,10,539,18,457
Home Improvement,799,3259,3259 Stainless Steel 3 in 1 Multipurpose Bathroom Shelf Rack Towel Rod Tumbler Holder with Brush Hanger Bathroom Accessories,500,257,84,20,639,18,542
Home Improvement,1999,4612,4612 Silent and Portable High Speed Foldable Table Fan with USB Charging Feature,810,859,84,30,1399,18,1186
Home Improvement,1999,4624,4624 Portable 2 Tier Stainless Steel and Plastic Cloth Drying Stand with Double Pole,3135,975,294,10,1799,18,1525
Home Improvement,999,4649,4649 Adjustable Folding Clothes Steel Drying Racks Hanger Shelf,2320,362,210,10,899,18,762
"Jams, Honey & Spreads",408,0051,0051 Strawberry spread (350 Gms),400,143,42,5,388,18,328
"Jams, Honey & Spreads",408,0052,0052 Milk Spread (350 Gms),400,143,42,5,388,18,328
"Jams, Honey & Spreads",475,0053,0053 Chocotown Spreads Cocoa spread,400,132,42,15,404,18,342
"Jams, Honey & Spreads",606,0054,0054 Choco Nutri Chocolate Spreads - Premium Hazelnuts Spreads - 350 gm,350,215,42,15,515,18,437
Kitchen,1299,1142,1142 Box Watermelon Cutter,1102,129,126,60,520,18,440
Kitchen,660,0057,0057 Digital Weighing Scale (10 Kg),428,175,42,30,462,18,392
Kitchen,792,0068,0068 -4 In 1 Vegetable Grater Mandoline Slicer,846,198,84,30,554,18,470
Kitchen,660,0071,0071 Plastic Vegetable Chopper  (1000 ml),500,128,84,30,462,18,392
Kitchen,452,0074,0074 Fruit and Vegetable Juicer nano or mini Juicer,619,112,84,5,429,18,364
Kitchen,645,0075,"0075 Dryfruit Box, Chocolates Box, Sweet Box, Mouth Freshener Box, Indian Mukhwas Box (Set of 4, Green)",1539,215,168,0,645,18,547
Kitchen,440,0077,"0077 Dryfruit Box, Chocolates Box, Sweet Box, Mouth Freshener Box, Indian Mukhwas Box (Set of 2, Orange)",799,110,84,5,418,18,354
Kitchen,572,0079,0079 Manual 2 in 1 Handy smart chopper for Vegetable Fruits Nuts Onions Chopper Blender Mixer Food Processor (750 ml),526,125,84,20,458,18,388
Kitchen,1999,0082,"0082 Smokeless Electric Indoor Barbecue Grill, 2000w",2520,675,252,35,1299,18,1101
Kitchen,760,0083,0083 Stainless Steel French Fries Potato Chips Strip Cutter Machine,679,397,84,0,760,18,644
Kitchen,435,0089,,354,74,42,20,348,18,295
Kitchen,648,0090,"0090L Kitchen Press Set 12 pcs, Silver (Loose Packing)",607,189,84,20,518,18,439
Kitchen,711,0098,,933,135,84,30,498,18,422
Kitchen,330,0099,0099 Square Plastic Gas Cylinder Trolley,290,60,42,5,314,18,266
Kitchen,495,0101,0101 Compact & Powerful Hand Held Vegetable Chopper (650 ml),439.4,89,42,25,371,18,315
Kitchen,660,0102,"0102 Kitchen Knife Set with Wooden Block and Scissors (5 pcs, Black)",340,142,42,35,429,18,364
Kitchen,700,0104,0104 New Stylish Stainless Steel Cutlery Set (24 pcs),1350,158,126,20,560,18,475
Kitchen,435,0109,0109 Plastic Handheld Egg Cracker with Separator,239,81,42,20,348,18,295
Kitchen,720,0114,"0114 Virgin Plastic French Fry Chipser, Potato Chipser/Potato Slicer with Container",983,182,84,25,540,18,458
Kitchen,652,0118,0118 Stainless Steel Gas Cylinder Trolley,1540,152,168,10,587,18,497
Kitchen,684,0119,0119 french fries chipser (potato chipser),979,228,84,15,581,18,493
Kitchen,704,0121,0121 Portable USB Electric Juicer - 2 Blades (Protein Shaker),506,260,84,15,598,18,507
Kitchen,1266,0125,"0125 Stainless Steel Briefcase Style Barbecue Grill Toaster (Medium, Black)",2385,669,210,0,1266,18,1073
Kitchen,999,0126,"0126 Folding Barbeque Charcoal Grill Oven (Black, Carbon Steel)",1450,379,126,15,849,18,720
Kitchen,645,0130,0130 Manual Gola Maker (Multicolour),2073,289,210,0,645,18,547
Kitchen,754,0131,0131 Portable USB Electric Juicer - 4 Blades (Protein Shaker),506,297,84,15,641,18,543
Kitchen,826,0133,0133 Portable USB Electric Juicer - 6 Blades (Protein Shaker),506,329,84,15,702,18,595
Kitchen,464,0135,0135 Cordless Motorized Knife Blade Sharpener Tool,234,135,42,15,394,18,334
Kitchen,652,0139,0139 Foldable Strainer Chef Basket,346,155,42,30,456,18,387
Kitchen,616,0140,0140 Plastic Multipurpose Manual Juicer,1490,148,126,15,524,18,444
Kitchen,330,0141,0141 slicer 6 in 1,246,39,42,15,281,18,238
Kitchen,360,0145,0145 Stainless Steel Medu Vada Maker,410,79,42,10,324,18,275
Kitchen,360,0146,0146 Gas Cylinder Trolley,1395,62,126,0,360,18,305
Kitchen,792,0153,0153 Electric Egg Boiler Poacher Steamer (7 Egg Poacher),819,200,84,25,594,18,503
Kitchen,495,0155,0155 Dough Maker Machine With Measuring Cup (Atta Maker),,97,42,25,371,18,315
Kitchen,380,0164,0164 Primo Water Pump Dispenser Handle Carry Handle Convenient Spout Cap,460,76,42,15,323,18,274
Kitchen,400,0178,0178 Kitchen Food Processor (Chop N Churn),681,83,84,5,380,18,322
Kitchen,999,0357,0357 Datlon Bio Cleaner Vegetables & Fruit Cleaner - 1 L,1000,104,84,50,500,18,423
Kitchen,452,0375,0375 -40Kg 10g Portable Handy Pocket Smile Mini Electronic Digital LCD Weighing Scale,153,119,42,15,384,18,326
Kitchen,485,0542,"0542 Gardening Tools - Hand Cultivator, Big Trowel, Garden Fork (Set of 3)",68,92,42,25,364,18,308
Kitchen,608,0549,"0549 Digital Portable Hook Type Weighing Scale (50 kg, Multicolor)",176,159,42,25,456,18,386
Kitchen,759,0596,0596 Self Stirring Mug,324,208,42,30,531,18,450
Kitchen,420,0634,0634 Smart Candy Box,372,75,42,20,336,18,285
Kitchen,700,0643,"0643 Multipurpose (MH-200) LCD Screen Digital Electronic Portable Mini Pocket Scale(Weighing Scale), 200g",94,175,42,30,490,18,415
Kitchen,360,0649,0649 stainless steel Bicycle shape Pizza cutter,102,72,42,10,324,18,275
Kitchen,470,0704,0704 -3 in 1 Fruit & Vegetable Chopping Board Wash Folding Basket,288,59,42,30,329,18,279
Kitchen,802,0705,0705 Multi-function Hanging Window Sill Drying Rack Easy Folding Drying Rack Balcony Retractable Drying Shoe Rack,1125,354,126,5,762,18,646
Kitchen,897,0732,0732 Multipurpose Unbreakable Plastic Matka Stand/Pot Stand,851,41,84,60,359,18,304
Kitchen,699,0739,0739 Portable Blender Juicer Cup USB Rechargeable Electric Automatic Vegetable Juicer Cup Lemon Orange Maker Mixer Bottle Drop 380ml,436,359,42,5,664,18,563
Kitchen,720,0740,0740 Stainless Steel Puri Press/Puri Machine/Papad Maker Machine,838,279,84,10,648,18,549
Kitchen,460,0741,0741 Mini Pull Chopper 450ml Handy Plastic Chopper with Triple SS Blade,328,115,42,15,391,18,331
Kitchen,399,0812,0812 Cake Decorating Kit with Reusable Plastic Couplers Piping Nozzle Set,198,129,42,0,399,18,338
Kitchen,899,0825,0825 Heavy Duty Universal Washing Machine Stand Double Single Door Stand,2120,397,210,0,899,18,762
Kitchen,799,1197,1197 Electronic Kitchen Digital Spoon Weighing Scale,145,259,42,25,599,18,508
Kitchen,1999,1452,1452 One-Touch Automatic Vacuum Sealing Machine for Dry And Moist Food,618,719,84,35,1299,18,1101
Kitchen,1999,1580,1580 Digital Multi-Purpose Kitchen Weighing Scale (TS500),1580,689,168,30,1399,18,1186
Kitchen,999,1671,"1671 Hard Water Filter with Multi Function Overhead Shower, Chrome Finish",1671,450,168,5,949,18,804
Kitchen,399,2014,1914 Doctor Set for Kids (Multicolour),380,115,42,5,379,18,321
Kitchen,599,2023,"2023 Plastic 14-in-1 Jumbo Manual Vegetable Grater,Chipser and Slicer",1009,269,126,0,599,18,508
Kitchen,999,2025,"2025 Maitri Plastic 12-in-1 Jumbo Manual Vegetable Grater, Chipser and Slicer",954,240,84,35,649,18,550
Kitchen,999,2042,"2042 Kitchen Combo - Juicer, 6 in 1 Slicer, Vegetable Cutter, Corn Cutter, Spiral Cutter, 4 in 1 Peeler, Orange Peeler, Apple Cutter and 4pc Glasses",1790,277,168,25,749,18,635
Kitchen,999,2051,2051 Manual Food Processor Blender Mixer Grinder,1512,330,168,20,799,18,677
Kitchen,499,2055,2055 Kitchen Plastic Space Saver Organizer Basket Rack- 4 pcs,405,89,42,25,374,18,317
Kitchen,499,2064,2064 Foldable Drain Rack Kitchen Sink Roll up Dish Drying Rack Portable Dish Rack,292,129,42,20,399,18,338
Kitchen,499,2069,2069 5 in 1 Multifunction Vegetable Cutter Manual Dicer with Container Box,626,132,84,10,449,18,381
Kitchen,999,2094,2094 Stainless Steel Cutlery Set with Plastic Storage Box (24 Pieces - Brown),422,289,42,35,649,18,550
Kitchen,999,2095,2095 Stainless Steel Cutlery Set with Stand - Pack of 24(Silver),610,289,84,30,699,18,593
Kitchen,499,2099,2099 Rotating Cake Stand for Decoration and Baking,1240,85,126,10,449,18,381
Kitchen,899,2126,2126 Cake Mould Pan Set Baking Tray Removable Cake Mould Black (3 Pack),1040,359,126,10,809,18,686
Kitchen,1499,2137,2137 Silicone Foldable Collapsible Electric Water Kettle Camping  Boiler,526,450,84,40,899,18,762
Kitchen,699,2142,2142 6 in 1 Stainless Steel Kitchen Chips Chopper Cutter Slicer and Grater with Handle,560,295,84,5,664,18,563
Kitchen,999,2143,2143 Compact Hand Electric Mixer/Blender for Whipping/Mixing with Attachments,600,325,84,30,699,18,593
Kitchen,799,2150,2150 Multi functional Electric 2 in 1 Egg Frying Pan with Egg Boiler Machine Measuring Cup with Handle,2190,315,210,0,799,18,677
Kitchen,899,2151,2151 Stainless Steel Electric Kettle with Lid - 2 l,600,309,84,0,899,18,762
Kitchen,499,2161,2161 10 in 1 Multifunctional Vegetable Fruits Cutter/Slicer Shredder with Rotating Drain Basket,450,159,42,0,499,18,423
Kitchen,499,2162,2162 Hot N Fresh Insulated Plastic Casserole Gift Set (3 Pieces),1360,152,126,0,499,18,423
Kitchen,999,2182,2182 Light Weight Plastic Dinner Set of 36 Pieces,2080,397,210,10,899,18,762
Kitchen,999,2199,2199 Multipurpose Vegetable and Fruit Chopper Cutter Grater Slicer,1054,239,126,30,699,18,593
Kitchen,899,2200,2200 Mini Multipurpose Vegetable and Fruit Chopper Cutter Grater Slicer,670,225,84,30,629,18,533
Kitchen,799,2206,"2206 20 in 1 Multipurpose Fruit & Vegetable Chopper, Slicer, Chipser, Dicer, Cutter and Grater",1165,309,126,10,719,18,609
Kitchen,399,2224,2224 BBQ Tandoor Skewers Grill Sticks for Barbecue (Pack of 12),280,101,42,10,359,18,304
Kitchen,1999,2225,2225 Folding Portable Barbeque BBQ Grill Set for Outdoor and Home,2292,635,210,30,1399,18,1186
Kitchen,499,2229,2229 Compact 6 in 1 Egg Boiler Cooker/Poacher,727,160,84,5,474,18,402
Kitchen,499,2257,2257 Manual Hand Held Vegetable Chopper Mincer Blender (600ml),348,75,42,30,349,18,296
Kitchen,1499,2285,2285 Stainless Steel Knife Set With Chef Peeler And Scissor (6 Pieces),644,448,84,40,899,18,762
Kitchen,799,2297,"2297 12 in 1 Multipurpose Fruit & Vegetable Chopper, Slicer, Chipser, Dicer, Cutter and Grater",1068,259,126,15,679,18,576
Kitchen,499,2302,2302 Aluminium Silver Kitchen Foil Roll ( 72 Meter *),600,197,84,0,499,18,423
Kitchen,699,2305,2305 Metal Moulds for Baking Non-Stick Cake Tins (Pack of 3),1000,265,84,10,629,18,533
Kitchen,405,2306,2306 Manual Knife Sharpener 3 Stage Sharpening Tool for Ceramic Knife and Steel Knives,203,135,42,5,385,18,326
kitchen,1199,2313,2313 Aluminum Alloy Manual Fruit Press Juicer Fruit Hand Squeezer Heavy Duty,1050,325,126,35,779,18,660
Kitchen,799,2318,2318  Ice Gola Maker Ice Snow Maker Machine,2026,275,210,5,759,18,643
Kitchen,1499,2326,2326 Manual Aluminium Fruit Press Juicer Alloy Fruit Hand Squeezer Heavy Duty,985,408,84,40,899,18,762
Kitchen,1199,2330,2330 Stainless Steel Salad Vegetable Potato Chips Cutter Chopper,1610,397,168,25,899,18,762
Kitchen,399,2342,2342 Heavy unbreakable Stylish Diamond look fully Transparent Plastic Glasses Set 260ml (6pcs),820,115,84,0,399,18,338
Kitchen,499,2358,2358 Plastic Transparent Unbreakable Lemon Juice Jug Set and 6 pcs Glass,1258,129,126,0,499,18,423
Kitchen,1999,2362,2362 Crystal Ice Cream Bowl Glass for Serving Set of 7pcs with 1 Large Bowl & 6 Medium Bowls,2641,652,252,30,1399,18,1186
Kitchen,499,2363,2363 Multi Purpose Drinking Glass Set (Set of 6 Pcs),890,127,84,10,449,18,381
Kitchen,999,2364,2364 Heart Shape Metal Moulds for Baking Non-Stick Cake Tins (Pack of 3),856,348,84,25,749,18,635
Kitchen,699,2369,2369 Manual Fruit & Vegetable Juicer with Steel Handle Fruit Juicer,1597,159,168,15,594,18,504
Kitchen,999,2373,2373 Mini Manual Aluminium Fruit Press Juicer,907,325,84,25,749,18,635
Kitchen,599,2374,2374 Electric Mini Garlic Chopper (250ml),265,289,42,5,569,18,482
Kitchen,599,2379,2379 Multiple Shape Metal Moulds for Baking Non-Stick Cake Tins,480,285,42,5,569,18,482
Kitchen,599,2387,2387 Multipurpose Vegetable and Fruit Chopper Cutter Grater Slicer,960,235,84,5,569,18,482
Kitchen,599,2391,2391 Glass Kettle/Teapot with Stainless Steel Infuser & Lid,310,240,42,10,539,18,457
Kitchen,599,2414,"2414 Portable Mini Gas Travelling Stove, Small Gas Stove",390,323,42,0,599,18,508
Kitchen,599,2415,2415 Vegetable Cutter Chopper Chipser for Kitchen 12 in 1 (11 Blade and 1 Peeler),955,258,84,0,599,18,508
Kitchen,499,2430,2430 Manual Knife Sharpener 2 Stage Sharpening Tool for Ceramic Knife and Steel Knives,130,119,42,20,399,18,338
Kitchen,799,2445,2445 Manual Aluminium and Plastic Fruit Press Juicer,985,348,84,10,719,18,609
Kitchen,499,2463,2463 8 Piece Kitchen Knife Set for Kitchen,682,197,84,0,499,18,423
Kitchen,999,2467,2467  24 Pack Premium Stainless Steel Cutlery Set,1035,479,126,5,949,18,804
Kitchen,399,2516,2516 Combo Stainless Steel 9 Russian Cake Icing Nozzles,248,139,42,0,399,18,338
Kitchen,999,2533,"2533 Yogurt Maker Machine, Stainless Steel Inner Container Electric Yogurt Maker",761,297,84,30,699,18,593
Kitchen,399,2535,2535 Rolling Mat Silicone Baking Mat Fondant Mat Sheet Chapati,174,123,42,5,379,18,321
Kitchen,499,2542,2542 Stainless Steel and Plastic Insulated Lunch Box of 3 Air Tight Containers with Bag Cover,591,183,84,0,499,18,423
Kitchen,599,2551,2551 Multipurpose Top Kitchen Knife for Home and Restaurant (12Pcs Set),318,148,42,30,419,18,355
Kitchen,499,2556,"2556 Creative Snack Dish, Five trellised Family Fruit Dessert set",821,165,84,5,474,18,402
Kitchen,599,2563,2563 Wall Mounted Oil Dispenser Bottle,517,200,84,10,539,18,457
Kitchen,720,3207,3207 Disposable Round Shape Eco-friendly Areca Palm Leaf Plate (12x12 inch) (pack of 25),2170,187.5,210,5,684,18,580
Kitchen,550,3208,3208 Disposable Round Shape Eco-friendly Areca Palm Leaf Plate (10x10 inch) (pack of 25),956,137.5,84,15,468,18,396
Kitchen,972,3209,3209 Disposable Round Shape 4 Section Eco-friendly Areca Palm Leaf Plate (12x12 inch) (pack of 25),2350,255,210,20,778,18,659
Kitchen,790,3210,3210 Disposable Round Shape 3 Section Eco-friendly Areca Palm Leaf Plate (10x10 inch) (pack of 25),1768,197.5,168,20,632,18,536
Kitchen,640,3214,3214 Disposable Square Eco-friendly Areca Palm Leaf Plate (10x10 inch) (pack of 25),1310,167.5,126,15,544,18,461
Kitchen,510,3216,3216 Disposable Square Eco-friendly Areca Palm Leaf Plate (8x8 inch) (pack of 25),965,127.5,84,15,434,18,367
Kitchen,790,3220,3220 Disposable Square Shape Eco-friendly Areca Palm Leaf Plate (10x10 inch) (pack of 25),1804,197.5,168,20,632,18,536
Kitchen,660,3222,3222 Disposable Heart Shape Eco-friendly Areca Palm Leaf Plate (6x6 inch) (pack of 25),683,165,84,25,495,18,419
Kitchen,499,3306,3306 Silicone 6-Cavity Half Circle Half Sphere Half Round Hemisphere Baking Mould Chocolate Desserts Ice Cream Bombs Soap (Random Colour),378,85,42,30,349,18,296
Kitchen,499,4668,4668 Silicone Plastic Folding Collapsible Durable Kitchen Sink Dish Rack,1157,136,126,0,499,18,423
Kitchen,599,4690,4690 Silicone Anti Slip Food Grade Round Coasters Trivets Mat Pads,204,152,42,25,449,18,381
Kitchen,899,7007,"7007 Stainless Steel Stylish Cutlery Set with Spoons, Forks, Butter Knives for Stylish Dining (Set of 24 Pcs)",1435,435,126,5,854,18,724
Kitchen,799,7017,7017 Manual Fruit & Vegetable Juicer and Blender with Steel Handle (Multi Coloured),1897,232,168,15,679,18,576
Kitchen,999,7027,7027 Electric Fruit Vegetable Onion Garlic Cutter Food Speedy Chopper,325,248,42,40,599,18,508
Kitchen Storage (Lunch Box & W),999,2506,2506 Electric Lunch Box Electric Tiffin Box,908,294,84,30,699,18,593
"Kitchen Storage, Container & Rack",599,0058,0058 Electric lunch box,950,279,84,0,599,18,508
"Kitchen Storage, Container & Rack",564,0061,0061 Spice bottle 6pcs,492,107,42,30,395,18,335
"Kitchen Storage, Container & Rack",440,0062,0062 Smart Baskets for Storage(Set of 3),1094,94,126,0,440,18,373
"Kitchen Storage, Container & Rack",380,0078,"0078 Plastic Aachar Pickle Container/Chutney/Mukhwas Tray/Masala Tray/Dining Spice Stand (Set of 4 Jar, 2 Spoon, 1 Tray,)",756,78,84,0,380,18,322
"Kitchen Storage, Container & Rack",792,0095,0095 Revolving Plastic Spice Rack Masala Organiser (12 pcs ),2426,198,210,15,673,18,571
"Kitchen Storage, Container & Rack",499,0096,0097 Revolving Plastic Spice Rack Masala Organiser (8 Pcs),839,123,84,10,449,18,381
"Kitchen Storage, Container & Rack",528,0097,"0098 Foldable Chopping Board, Dish Rack, Washing Bowl & Draining Basket, 3in1 Multi-Function",1199,132,126,5,502,18,425
"Kitchen Storage, Container & Rack",484,0100,0100 Plastic Spice Rack Masala Organiser (6 Pcs),594,121,84,10,436,18,369
"Kitchen Storage, Container & Rack",735,0103,0103 Revolving Plastic Spice Rack  (16 Pcs),2238,215,210,5,698,18,592
"Kitchen Storage, Container & Rack",490,0120,0120 Salt and Pepper Set with Tissue Holder Kitchen Dining Table,529,81,84,20,392,18,332
"Kitchen Storage, Container & Rack",682,0128,"0128 Steel Lunch Box Set (5 pcs, Black)",1307,341,126,0,682,18,578
"Kitchen Storage, Container & Rack",360,0137,0137 A5 Size Notebook Plastic Bottle (Any color),252,59,42,15,306,18,259
"Kitchen Storage, Container & Rack",485,0163,"0163 Multipurpose Pickle Jar Set (Multicolour, 4 pcs)",1039,79,126,10,437,18,370
"Kitchen Storage, Container & Rack",564,0165,0165 Silicone Ice Cube Maker,510,115,84,20,451,18,382
"Kitchen Storage, Container & Rack",415,0170,0170 Lunch Box (200 ml each Container) with Attractive Stand - 4 pcs,944,79,84,10,374,18,317
"Kitchen Storage, Container & Rack",360,0171,"0171 Plastic Container Set, 200ml, Set of 6",442,75,42,10,324,18,275
"Kitchen Storage, Container & Rack",599,0326,0326 Silicone Collapsible/Foldable Water Bottle,300,169,42,20,479,18,406
"Kitchen Storage, Container & Rack",999,0327,"0327 Water Bottle Thermo Steel 900ml, Thermos Flask Water Bottle for Cold Water",517,390,84,20,799,18,677
"Kitchen Storage, Container & Rack",360,0364,"0364 Notebook Style Slim Water Bottle (380 ml, Multicolor)",222,72,42,10,324,18,275
"Kitchen Storage, Container & Rack",399,0603,0603 Cereal Storage Container With Measuring Cup For Kitchen Storage (3 units),882,219,84,0,399,18,338
"Kitchen Storage, Container & Rack",638,0606,0606 Stainless Steel Lunch Box (Tiktok Tiffin),132,319,42,5,606,18,514
"Kitchen Storage, Container & Rack",748,0607,0607 Plastic Sink Dish Drainer Drying Rack,2032,139,210,15,636,18,539
"Kitchen Storage, Container & Rack",780,0746,0746_Stainless Steel 2 Layer Plate & Bowl Stand Kitchen Utensil Rack/Cutlery Stand,2974,220,252,5,741,18,628
"Kitchen Storage, Container & Rack",499,0804,0804 Collapsible Folding Silicone Dish Drying Drainer Rack with Spoon Fork Knife Storage Holder,1116,120,126,0,499,18,423
"Kitchen Storage, Container & Rack",999,2111,2111 Microwave Safe Stainless Steel Small Square Lunch Box Containers,1320,345,126,20,799,18,677
"Kitchen Storage, Container & Rack",499,2174,2174 Multipurpose Rajwadi Style Spice & Pickle Jar Set 4 Containers with 2 spoons,1264,119,126,5,474,18,402
"Kitchen Storage, Container & Rack",999,2201,2201 Compact Stainless Steel Airtight Lunch Box Set - 4 pcs (3 Leakproof Containers and 1 Bottle),1326,329,126,20,799,18,677
"Kitchen Storage, Container & Rack",699,2274,"2274 Air Tight Apple Shape Storage Container - 500 ml, 800 ml and 1500 ml (4 Pcs Each Size, 12 Pcs)",1130,319,126,0,699,18,592
"Kitchen Storage, Container & Rack",799,2286,2286 Matka Shaped Jar with Air Tight & Leak Proof Lid (Multicolour) (Set of 6) (900Ml),2300,215,210,10,719,18,609
"Kitchen Storage, Container & Rack",1199,2298,"2298 Reusable Clear Square Container for Sugar, Salt, Dried Fruits, & More (1500 ML) (6 pcs)",1652,389,168,25,899,18,762
"Kitchen Storage, Container & Rack",449,2303,2303 Folding Shopping Portable Storage Basket,828,119,84,5,427,18,361
"Kitchen Storage, Container & Rack",499,2325,2325 Wall Mounted Cereal Dispenser Tank Grain Dry Food Container (1500ML) (Multicolour),634,122,84,10,449,18,381
"Kitchen Storage, Container & Rack",999,2359,"2359 Stainless Steel Jar With Visible Container Glass Window & Airtight Lid (Pack of 3) (325ml,500ml,740ml)",1550,373,168,15,849,18,720
"Kitchen Storage, Container & Rack",499,2360,2360 Stainless Steel Jar With Visible Container Glass Window & Airtight Lid (800ml),650,163,84,0,499,18,423
"Kitchen Storage, Container & Rack",999,2375,2375 Lock 'N' Store High Borosilicate Bakeware Safe Glass Container With Bag (Pack of 3),1042,339,126,20,799,18,677
