catgory,MRP,product code,product name,WEIGHT,Cost per item,ship,DISCOUNT,selling rate,GST,selling rate excl gst,,image,,,,,,,,,,
Kitchen,299,2547,"2547 Premium Stainless Steel Knives, Stainless Steel Handle Heavy Duty Blade (11 Inch)",70,142,42,0,299,18,253,2547_SS_Chef_Knife_11inch,https://cdn.shopify.com/s/files/1/1916/9825/products/254702.jpg?v=1631191274,https://cdn.shopify.com/s/files/1/1916/9825/products/254701.jpg?v=1631191274,https://cdn.shopify.com/s/files/1/1916/9825/products/254705.jpg?v=1631192239,https://cdn.shopify.com/s/files/1/1916/9825/products/254707.jpg?v=1631192239,https://cdn.shopify.com/s/files/1/1916/9825/products/254703.jpg?v=1631192239,https://cdn.shopify.com/s/files/1/1916/9825/products/254704.jpg?v=1631192236,,,,,
Kitchen,499,2564,2564 Glossy Finish  Coffee Tea Milk Plain Mug 350ml,732,199,84,15,424,18,359,2564_4Pc_Coffee_Mug_350Ml,https://cdn.shopify.com/s/files/1/1916/9825/products/256401.jpg?v=1632388544,https://cdn.shopify.com/s/files/1/1916/9825/products/256405.jpg?v=1632388544,https://cdn.shopify.com/s/files/1/1916/9825/products/256406.jpg?v=1632388558,https://cdn.shopify.com/s/files/1/1916/9825/products/256404.jpg?v=1632388558,https://cdn.shopify.com/s/files/1/1916/9825/products/256407.jpg?v=1632388558,https://cdn.shopify.com/s/files/1/1916/9825/products/256403.jpg?v=1632388544,https://cdn.shopify.com/s/files/1/1916/9825/products/256402.jpg?v=1632388544,,,,
Kitchen,399,2567,2567 Stainless Steel Sev Sancha Machine/Muruku Maker,520,195,84,0,399,18,338,2567_SS_Namkeen_Press_Maker,https://cdn.shopify.com/s/files/1/1916/9825/products/256701_1.jpg?v=1632228532,https://cdn.shopify.com/s/files/1/1916/9825/products/256704_1.jpg?v=1632228532,https://cdn.shopify.com/s/files/1/1916/9825/products/256709_db265342-4130-4c2e-8cb6-977b03d057c3.jpg?v=1632285276,https://cdn.shopify.com/s/files/1/1916/9825/products/256708_0d870d3a-41e2-4cb0-b57d-d3cf88cf7641.jpg?v=1632285276,https://cdn.shopify.com/s/files/1/1916/9825/products/256706_0a710259-a28f-4cc6-84b9-aa99793326eb.jpg?v=1632285276,https://cdn.shopify.com/s/files/1/1916/9825/products/256705_78dd37e3-c853-4619-a9e7-722239716f8f_1.jpg?v=1632285276,,,,,
Kitchen,599,2572,2572 Chopping Board with Knife Set (Pack of 5),610,232,84,20,479,18,406,2572_5Pc_Chop_Board_Knife_Set,https://cdn.shopify.com/s/files/1/1916/9825/products/257201.jpg?v=1632486361,https://cdn.shopify.com/s/files/1/1916/9825/products/257203.jpg?v=1632486361,https://cdn.shopify.com/s/files/1/1916/9825/products/257204.jpg?v=1632486361,https://cdn.shopify.com/s/files/1/1916/9825/products/257205.jpg?v=1632486361,https://cdn.shopify.com/s/files/1/1916/9825/products/71tIlp-eVwL._AC_SL1500.jpg?v=1632486361,https://cdn.shopify.com/s/files/1/1916/9825/products/257206.jpg?v=1632486361,https://cdn.shopify.com/s/files/1/1916/9825/products/WhatsAppImage2021-09-24at12.40.21PM.jpg?v=1632486361,,,,
Kitchen,399,2574,2574 Space Saver Spice Rack  6 Piece Spice Set  (Plastic),925,177,84,0,399,18,338,2574_6Pc_Round_Spice_Rack,https://cdn.shopify.com/s/files/1/1916/9825/products/2574.jpg?v=1632569157,https://cdn.shopify.com/s/files/1/1916/9825/products/03_ce73d5cf-3483-4c36-9de7-3da507e7d9fb.jpg?v=1632569204,https://cdn.shopify.com/s/files/1/1916/9825/products/06_affd46b8-6d40-45a7-85b6-da7c5f6dea6d.jpg?v=1632569204,https://cdn.shopify.com/s/files/1/1916/9825/products/02_e519ab45-2fb3-4973-b061-eec33f8c9c92.jpg?v=1632569204,https://cdn.shopify.com/s/files/1/1916/9825/products/05_7ab2d6ac-d325-49a9-9819-8f3df17d33df.jpg?v=1632569204,https://cdn.shopify.com/s/files/1/1916/9825/products/04_ac438e96-72e2-4ee1-822a-6d0c97030774.jpg?v=1632569204,https://cdn.shopify.com/s/files/1/1916/9825/products/07_2591bf1a-8773-43ff-aefd-1659ac6fd4aa.jpg?v=1632569150,,,,
Kitchen,299,2585,2585 Rolling Mat Silicone Baking Mat Fondant Mat Sheet Chapati,309,133,42,0,299,18,253,2585A_Small_Sili_Roti_Mate,https://cdn.shopify.com/s/files/1/1916/9825/products/01_4378a9d6-a038-4f81-9196-1edfab448d61.jpg?v=1635507289,https://cdn.shopify.com/s/files/1/1916/9825/products/04_6fdae88d-504c-44ad-9e0d-f93f72238633.jpg?v=1635507289,https://cdn.shopify.com/s/files/1/1916/9825/products/05_54295c7b-57e9-432f-b0d8-9896af3afd52.jpg?v=1635507289,https://cdn.shopify.com/s/files/1/1916/9825/products/02_f36773cd-35d7-4ac9-b9fd-679141d70775.jpg?v=1635507289,https://cdn.shopify.com/s/files/1/1916/9825/products/03_3bcbd27e-45c8-45a6-81b7-1598f5c629ba.jpg?v=1635507289,https://cdn.shopify.com/s/files/1/1916/9825/products/07_090d3bdb-8122-4516-94f4-5b71be02cbf3.jpg?v=1635507289,https://cdn.shopify.com/s/files/1/1916/9825/products/06_ca9a8286-1c22-41b3-84a2-b7561c93db00.jpg?v=1635507288,https://cdn.shopify.com/s/files/1/1916/9825/products/08_516b5aa8-b164-4130-93e7-fe290e9dff70.jpg?v=1635506582,,,
"Kitchen Storage, Container & Rack",499,2325,2325 Wall Mounted Cereal Dispenser Tank Grain Dry Food Container (1500ML) (Multicolour),634,122,84,10,449,18,381,2325_Wall_Container_1500Ml,https://cdn.shopify.com/s/files/1/1916/9825/products/2325.jpg?v=1618532519,https://cdn.shopify.com/s/files/1/1916/9825/products/614IyCe5C9L._SL1000.jpg?v=1618532521,https://cdn.shopify.com/s/files/1/1916/9825/products/3-wall-mounted-grain-storage-box-cereal-dispenser-single-dry-original-imagyb53fzs8stsh.jpg?v=1618532523,https://cdn.shopify.com/s/files/1/1916/9825/products/11111.jpg?v=1618532525,https://cdn.shopify.com/s/files/1/1916/9825/products/03_0c1dea8c-1d51-448d-b236-2df4a16432ef.jpg?v=1618532527,https://cdn.shopify.com/s/files/1/1916/9825/products/61eRjUD89pL._SL1000.jpg?v=1618532528,https://cdn.shopify.com/s/files/1/1916/9825/products/02_572fb8fb-43d2-4aef-85b9-4dee912f1184.jpg?v=1618532530,,,,
"Kitchen Storage, Container & Rack",499,2189,2189 Stainless Steel Expandable Kitchen Sink Dish Drainer,1330,224,126,0,499,18,423,2189_Adjustable_SS_Drain_Rack,https://cdn.shopify.com/s/files/1/1916/9825/products/3f575524-ce72-4c02-b3c1-bccbf2482399.jpg?v=1610075392,https://cdn.shopify.com/s/files/1/1916/9825/products/71qpkrav-mL.jpg?v=1610075394,https://cdn.shopify.com/s/files/1/1916/9825/products/71siH00wHeL.jpg?v=1610075396,https://cdn.shopify.com/s/files/1/1916/9825/products/61goLpKcvgL.jpg?v=1610075397,https://cdn.shopify.com/s/files/1/1916/9825/products/61ULLnEtD_L.jpg?v=1610075399,https://cdn.shopify.com/s/files/1/1916/9825/products/71rTzHdSLPL.jpg?v=1610075401,,,,,
"Kitchen Storage, Container & Rack",499,2277,2277 3.5 LTR Water Rover Jug (Plastic) (Multi-coloured),1397,218,126,0,499,18,423,2277_3_5Ltr_Nexa_Jug,https://cdn.shopify.com/s/files/1/1916/9825/products/2277SKUCODE.jpg?v=1614288591,https://cdn.shopify.com/s/files/1/1916/9825/products/d670da44-c721-4717-8b90-2f088ee4dd45.jpg?v=1614288592,https://cdn.shopify.com/s/files/1/1916/9825/products/2277.jpg?v=1614288594,,,,,,,,
"Kitchen Storage, Container & Rack",499,2407,2407 Plastic Spice Jars Dispenser Masala Rack Easy Flow Storage,730,175,84,15,424,18,359,2407_12pc_Spice_Box,https://cdn.shopify.com/s/files/1/1916/9825/products/2407.jpg?v=1633781308,https://cdn.shopify.com/s/files/1/1916/9825/products/Untitled-3_a1f98759-cc7b-48d2-8c47-e87e4cf28169_1.jpg?v=1633781308,https://cdn.shopify.com/s/files/1/1916/9825/products/Untitled-4_163bd92d-088b-44e8-a9f2-900905a29eeb_1.jpg?v=1633781308,https://cdn.shopify.com/s/files/1/1916/9825/products/Untitled-2_86279d83-7cf6-4c7c-bc1f-51885785a078_1.jpg?v=1633781308,https://cdn.shopify.com/s/files/1/1916/9825/products/2392psd4_1.jpg?v=1633781308,https://cdn.shopify.com/s/files/1/1916/9825/products/Untitled-2_94af5f0e-44fc-4e74-ba48-62eba79d9d0d_1.jpg?v=1633781308,https://cdn.shopify.com/s/files/1/1916/9825/products/610CbaqhqPL._SL1500_1.jpg?v=1633781308,,,,
"Kitchen Storage, Container & Rack",599,2568,2568 Plastic Storage container Set with Opening Mouth,1680,232,168,5,569,18,482,2568_4Pc_Kit_kat_Container,https://cdn.shopify.com/s/files/1/1916/9825/products/256801_1.jpg?v=1632569063,https://cdn.shopify.com/s/files/1/1916/9825/products/Untitled-1_183c9585-98ec-449d-bbc2-c2190f5cefe5.jpg?v=1632569063,https://cdn.shopify.com/s/files/1/1916/9825/products/256803.jpg?v=1632569063,https://cdn.shopify.com/s/files/1/1916/9825/products/256807.jpg?v=1632569063,https://cdn.shopify.com/s/files/1/1916/9825/products/256808.jpg?v=1632569063,https://cdn.shopify.com/s/files/1/1916/9825/products/256806.jpg?v=1632569063,https://cdn.shopify.com/s/files/1/1916/9825/products/256809.jpg?v=1632569063,,,,
Power & Hand tools,299,1557,1557 32 in 1 Mini Screwdriver Bits Set with Magnetic Flexible Extension Rod,170,136,42,0,299,18,253,1557_32In1_Mini_Screwdriver,https://cdn.shopify.com/s/files/1/1916/9825/products/61CYteB1oxL._SL1477.jpg?v=1610075363,https://cdn.shopify.com/s/files/1/1916/9825/products/61EOBJ7nY7L._SL1500.jpg?v=1610075365,https://cdn.shopify.com/s/files/1/1916/9825/products/61nzPs4jKkL._SL1500.jpg?v=1610075366,https://cdn.shopify.com/s/files/1/1916/9825/products/81dJ0UWl2EL._SL1500.jpg?v=1610075368,https://cdn.shopify.com/s/files/1/1916/9825/products/71KgH6bFo_L._SL1500.jpg?v=1610075370,https://cdn.shopify.com/s/files/1/1916/9825/products/71brYeNoj2L._SL1500.jpg?v=1610075371,https://cdn.shopify.com/s/files/1/1916/9825/products/71f_6966f5L._SL1500.jpg?v=1610075372,,,,
Sports,499,524,0524_Yoga Mat Eco-Friendly For Fitness Exercise Workout Gym with Non-Slip Pad (180x60xcm) Mix Color,1739,207,168,0,499,18,423,0524_60x180_cm_yogamat,https://cdn.shopify.com/s/files/1/1916/9825/products/0524.jpg?v=1626974791,https://cdn.shopify.com/s/files/1/1916/9825/products/IMG-20200801-WA0105.jpg?v=1626974793,https://cdn.shopify.com/s/files/1/1916/9825/products/1_2e3ffaac-4325-4c5d-bd91-4349d1cf8ef5.jpg?v=1626974795,https://cdn.shopify.com/s/files/1/1916/9825/products/2_16f9a8b9-1ac9-42d3-8e98-6cb7288aeec4.jpg?v=1626974797,https://cdn.shopify.com/s/files/1/1916/9825/products/3_23bd7faf-aa1b-4d4e-8724-9b29ce8ee2e8.jpg?v=1626974799,https://cdn.shopify.com/s/files/1/1916/9825/products/4_074cb546-4e50-4af1-af05-20997b2850bc.jpg?v=1626974801,https://cdn.shopify.com/s/files/1/1916/9825/products/5_dd929f1d-aef5-4c24-9105-57f8182a6e4a.jpg?v=1626974803,,,,
Sports,399,1587,1587 40 Watt LED Rechargeable Dual Mode Head Torch,136,142,42,15,339,18,287,1587_40Watt_Head_Lamp,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE11111.jpg?v=1614900121,https://cdn.shopify.com/s/files/1/1916/9825/products/5645646646465.jpg?v=1614900123,https://cdn.shopify.com/s/files/1/1916/9825/products/4_1024x1024_c385827d-828f-4901-a9b3-81eac927c404.jpg?v=1614900125,https://cdn.shopify.com/s/files/1/1916/9825/products/e7ff6439-1efc-4370-83a5-335b63615662.jpg?v=1614900127,https://cdn.shopify.com/s/files/1/1916/9825/products/5_ff869e5c-c853-4d36-97b4-324ec6e3a264.jpg?v=1614900129,https://cdn.shopify.com/s/files/1/1916/9825/products/01111.jpg?v=1614900131,https://cdn.shopify.com/s/files/1/1916/9825/products/2_a0deb96e-5896-4f4f-b4a7-82bdf4f5a0ad.jpg?v=1614407774,https://cdn.shopify.com/s/files/1/1916/9825/products/21SsRfclI9L.jpg?v=1614900133,https://cdn.shopify.com/s/files/1/1916/9825/products/61jMZF_y7KL._SL1044.jpg?v=1614900135,https://cdn.shopify.com/s/files/1/1916/9825/products/6_0448c334-1b30-4bd9-a5a8-f5c0cf5528d3.jpg?v=1614900137,
Stationery,349,1546,1546 Stainless Steel Tailoring Scissor Sharp Cloth Cutting for Professionals (8.5inch) (Golden),200,185,42,0,349,18,296,1546_8_5inch_gold_plat_scissor,https://cdn.shopify.com/s/files/1/1916/9825/products/8.502.jpg?v=1608252375,https://cdn.shopify.com/s/files/1/1916/9825/products/02_ba725f33-7dc0-437c-a2bf-561dbe17c026.jpg?v=1608252380,https://cdn.shopify.com/s/files/1/1916/9825/products/8.5inch.jpg?v=1608252384,https://cdn.shopify.com/s/files/1/1916/9825/products/03_5eee5f54-29d0-4f9d-b32d-6b9d585c2cb9.jpg?v=1608252389,https://cdn.shopify.com/s/files/1/1916/9825/products/04_9b296906-9dba-43a2-8b86-b1824e4c3f63.jpg?v=1608252393,https://cdn.shopify.com/s/files/1/1916/9825/products/01_6fe7708c-a7d8-4ee0-ae8d-a154cf32d0fb.jpg?v=1608252397,https://cdn.shopify.com/s/files/1/1916/9825/products/05_4c95a9a2-a12f-4038-bf8c-b9a30d89ef62.jpg?v=1608252402,,,,
Stationery,499,4663,4663 Artistic Flat Painting Brush - Set of 12,330,199,42,20,399,18,338,4663_12Pc_Art_Brush,https://cdn.shopify.com/s/files/1/1916/9825/products/466301.jpg?v=1629392261,https://cdn.shopify.com/s/files/1/1916/9825/products/5e5393a695ca9d1080ab3c35-6-large.jpg?v=1629392263,https://cdn.shopify.com/s/files/1/1916/9825/products/606d62741bce3b25e764b68c-3-large.jpg?v=1629392265,https://cdn.shopify.com/s/files/1/1916/9825/products/606d62741bce3b25e764b68c-2-large.jpg?v=1629392267,https://cdn.shopify.com/s/files/1/1916/9825/products/H1ba7272894ca4dac8256f3935304ba40y.jpg?v=1629392269,https://cdn.shopify.com/s/files/1/1916/9825/products/WhatsAppImage2021-08-14at11.09.43AM.jpg?v=1629392271,https://cdn.shopify.com/s/files/1/1916/9825/products/606d62741bce3b25e764b68c-6-large.jpg?v=1629392273,https://cdn.shopify.com/s/files/1/1916/9825/products/5b18a82f09dce53dfd2b84d5-17-large.jpg?v=1629392276,https://cdn.shopify.com/s/files/1/1916/9825/products/5e5393a695ca9d1080ab3c35-7-large.jpg?v=1629392279,,
Toys For Kids,399,1903,1903 Kids Doctor Set Toy Game Kit for Boys and Girls Collection (Multicolour),586,164,84,5,379,18,321,1903_AT03_Doctor_Kit_Briefcase,https://cdn.shopify.com/s/files/1/1916/9825/products/1903.jpg?v=1617924752,https://cdn.shopify.com/s/files/1/1916/9825/products/01_e16bf942-2254-4814-ab57-0c0d8b709709.jpg?v=1617924754,https://cdn.shopify.com/s/files/1/1916/9825/products/02_2f2cb98b-7b5c-41d3-882a-520922de5861.jpg?v=1617924756,https://cdn.shopify.com/s/files/1/1916/9825/products/03_4ba66890-c06c-4720-a4e4-92387037b9ce.jpg?v=1617924758,https://cdn.shopify.com/s/files/1/1916/9825/products/04_981bc55b-3a00-4601-b552-201e1a6daea2.jpg?v=1617924760,https://cdn.shopify.com/s/files/1/1916/9825/products/05_a1376bfa-f3b6-40e6-92b3-163bbf39cd24.jpg?v=1617924762,https://cdn.shopify.com/s/files/1/1916/9825/products/1ca568a8-4565-4218-aa55-36fe69268a91.jpg?v=1617924764,,,,
Toys For Kids,499,1906,1906 Fun Filled Business Game with Plastic Money Coins for Young Businessmen,732,228,84,5,474,18,402,1906_AT06_5In1_Business_Game,https://cdn.shopify.com/s/files/1/1916/9825/products/1906SKUCODE.jpg?v=1616712062,https://cdn.shopify.com/s/files/1/1916/9825/products/01_98488be0-8bf9-457a-bc74-f20a57d041af.jpg?v=1616712064,https://cdn.shopify.com/s/files/1/1916/9825/products/5_1f3728a8-bad0-4ab0-91e6-b1c52e2cc791.jpg?v=1616712066,https://cdn.shopify.com/s/files/1/1916/9825/products/1_e76e88c3-1f7b-41ae-a851-558304961818.jpg?v=1616712067,https://cdn.shopify.com/s/files/1/1916/9825/products/2_4ca0282b-2320-45a9-a634-7a74d7a2964f.jpg?v=1616712069,https://cdn.shopify.com/s/files/1/1916/9825/products/3_f35ba3f7-34f9-4cd1-9892-b33cbc042f82.jpg?v=1616712071,https://cdn.shopify.com/s/files/1/1916/9825/products/4_01c3a53c-554d-4e0c-999f-f92e9e4910f3.jpg?v=1616712073,https://cdn.shopify.com/s/files/1/1916/9825/products/6_db7a9aaf-4e7e-4323-945f-cdf4891c435f.jpg?v=1616712074,,,
Toys For Kids,499,1908,1908 Beauty Make up Set for Kids Girls with Fold-able Suitcase (Multicolour),586,176,84,15,424,18,359,1908_AT08_Beauty_Briefcase,https://cdn.shopify.com/s/files/1/1916/9825/products/1908.jpg?v=1617924766,https://cdn.shopify.com/s/files/1/1916/9825/products/51EORzkbXKL._SL1263.jpg?v=1617924768,https://cdn.shopify.com/s/files/1/1916/9825/products/61njCc4DboL._SL1100.jpg?v=1617924770,https://cdn.shopify.com/s/files/1/1916/9825/products/71uIli-uQGL._SL1375.jpg?v=1617924771,https://cdn.shopify.com/s/files/1/1916/9825/products/61e0ruQrfkL._SL1273.jpg?v=1617924773,https://cdn.shopify.com/s/files/1/1916/9825/products/01_2e7dc0f7-fe5a-4b62-aa5c-68918994ba2e.jpg?v=1617924775,https://cdn.shopify.com/s/files/1/1916/9825/products/b47f6798-011f-46bb-8447-454a7ae93ec2.jpg?v=1617924777,,,,
Toys For Kids,299,2530,2530 120 pcs 12 Color Dominos Blocks Set,340,136,42,0,299,18,253,2530_120Pc_Dominos_Block,https://cdn.shopify.com/s/files/1/1916/9825/products/253001.jpg?v=1630007719,https://cdn.shopify.com/s/files/1/1916/9825/products/253002.jpg?v=1630007721,https://cdn.shopify.com/s/files/1/1916/9825/products/253003.jpg?v=1630007723,https://cdn.shopify.com/s/files/1/1916/9825/products/253004.jpg?v=1630007725,https://cdn.shopify.com/s/files/1/1916/9825/products/253006.jpg?v=1630007727,https://cdn.shopify.com/s/files/1/1916/9825/products/253007.jpg?v=1630007729,https://cdn.shopify.com/s/files/1/1916/9825/products/253005.jpg?v=1630007731,,,,
Toys For Kids,599,4720,4720 Blocks for Kids House Construction Building,1578,175,168,15,509,18,431,4720_88Pc_Building_Block_Set,https://cdn.shopify.com/s/files/1/1916/9825/products/01_1882ebcf-aa5d-4004-8340-94af8ac3eea6.jpg?v=1635233234,https://cdn.shopify.com/s/files/1/1916/9825/products/04_fd9136d1-b661-47c9-b57e-55f6d2de8180.jpg?v=1635233234,https://cdn.shopify.com/s/files/1/1916/9825/products/06_9dba6f32-a7e6-4963-82f8-4128401b7394.jpg?v=1635233234,https://cdn.shopify.com/s/files/1/1916/9825/products/07_a70efb19-63ab-421e-8617-954f1cb813cc.jpg?v=1635233234,https://cdn.shopify.com/s/files/1/1916/9825/products/02_0d14a17f-7a8f-4616-a38b-2a2edf81fbc1.jpg?v=1635233235,https://cdn.shopify.com/s/files/1/1916/9825/products/05_7c657e06-2b52-445d-a623-78d5dd650820.jpg?v=1635233235,https://cdn.shopify.com/s/files/1/1916/9825/products/03_8cf24d36-0d31-40f3-ab1e-04d8905944f3.jpg?v=1635233235,https://cdn.shopify.com/s/files/1/1916/9825/products/08_c7a5359f-68b5-464a-9a32-35ae3f6c18db.jpg?v=1635233235,,,
